ioc_12_2,ebird2021,comment
hylacola cauta,shyhea1,
hylacola pyrrhopygia,chrhea1,
hylexetastes brigidai,uniwoo1,
hylexetastes perrotii,rebwoo1,
hylexetastes stresemanni,babwoo1,
hylexetastes uniformis,uniwoo1,
hylia prasina,grehyl1,
hyliota australis,souhyl1,
hyliota flavigaster,yebhyl1,
hyliota usambara,usahyl1,
hyliota violacea,vibhyl1,
hylocharis chrysura,gilhum1,
hylocharis sapphirina,rutsap1,
hylocichla mustelina,woothr,
hylocitrea bonensis,olfwhi1,
hylomanes momotula,todmot1,
hylonympha macrocerca,scthum1,
hylopezus auricularis,masant1,
hylopezus berlepschi,amaant1,
hylopezus dives,thiant1,
hylopezus fulviventris,whlant2,
hylopezus macularius,spoant6,
hylopezus ochroleucus,whbant7,
hylopezus paraensis,spoant5,
hylopezus perspicillatus,stcant2,
hylopezus whittakeri,alfant1,
hylophilus amaurocephalus,gyegre1,
hylophilus brunneiceps,brhgre1,
hylophilus flavipes,scrgre1,
hylophilus olivaceus,oligre1,
hylophilus pectoralis,ashgre1,
hylophilus poicilotis,rucgre1,
hylophilus semicinereus,gycgre1,
hylophilus thoracicus,lecgre2,
hylophylax naevioides,spoant1,
hylophylax naevius,spbant6,
hylophylax punctulatus,dobant2,
hylopsar cupreocauda,ctgsta1,
hylopsar purpureiceps,phgsta1,
hylorchilus navai,navwre1,
hylorchilus sumichrasti,sumwre1,
hymenolaimus malacorhynchos,bluduc1,
hymenops perspicillatus,spetyr1,
hypargos margaritatus,pittwi1,
hypargos niveoguttatus,pettwi1,
hypergerus atriceps,oriwar2,
hypnelus bicinctus,rutpuf1,
hypnelus ruficollis,rutpuf1,
hypocharmosyna placentis,reflor1,
hypocharmosyna rubronotata,reflor2,
hypocnemis cantator,guiwaa1,
hypocnemis flavescens,imewaa1,
hypocnemis hypoxantha,yebant3,
hypocnemis ochrogyna,ronwaa1,
hypocnemis peruviana,perwaa1,
hypocnemis rondoni,manwaa1,
hypocnemis striata,spiwaa1,
hypocnemis subflava,yebwaa1,
hypocnemoides maculicauda,batant1,
hypocnemoides melanopogon,blcant3,
hypocolius ampelinus,hypoco1,
hypocryptadius cinnamomeus,cinwhe1,
hypoedaleus guttatus,spbant3,
hypopyrrhus pyrohypogaster,rebgra1,
hypositta corallirostris,nuthat2,
hypotaenidia dieffenbachii,dierai1,
hypotaenidia insignis,nebrai1,
hypotaenidia okinawae,okirai1,
hypotaenidia owstoni,guarai1,
hypotaenidia pacifica,tahrai1,
hypotaenidia philippensis,bubrai1,
hypotaenidia poeciloptera,bawrai1,
hypotaenidia rovianae,rovrai1,
hypotaenidia sylvestris,lohrai1,
hypotaenidia torquata,barrai1,
hypotaenidia wakensis,wairai1,
hypotaenidia woodfordi,woorai1,
hypothymis azurea,blnmon1,
hypothymis coelestis,celmon1,
hypothymis helenae,shcmon1,
hypothymis puella,pabmon1,
hypsipetes affinis,golbul3,
hypsipetes amaurotis,brebul1,
hypsipetes borbonicus,reubul1,
hypsipetes catarmanensis,yelbul1,
hypsipetes crassirostris,seybul1,
hypsipetes everetti,yelbul1,
hypsipetes ganeesa,sqtbul1,
hypsipetes guimarasensis,visbul1,
hypsipetes leucocephalus,blabul1,
hypsipetes longirostris,sulgob1,
hypsipetes madagascariensis,madbul1,
hypsipetes mindorensis,minbul1,
hypsipetes moheliensis,mohbul1,
hypsipetes mysticalis,golbul4,
hypsipetes olivaceus,maubul1,
hypsipetes parvirostris,combul1,
hypsipetes philippinus,phibul1,
hypsipetes rufigularis,zambul1,
hypsipetes siquijorensis,stbbul1,
hypsipetes thompsoni,whhbul1,
ianthocincla bieti,bielau1,
ianthocincla cineracea,moulau1,
ianthocincla konkakinhensis,chelau1,
ianthocincla lunulata,barlau1,
ianthocincla maxima,gialau1,
ianthocincla ocellata,spolau1,
ianthocincla rufogularis,ruclau1,
ianthocincla sukatschewi,suklau1,
ibidorhyncha struthersii,ibisbi1,
ibycter americanus,retcar2,
ichthyaetus audouinii,audgul1,
ichthyaetus hemprichii,soogul2,
ichthyaetus ichthyaetus,gbhgul2,
ichthyaetus leucophthalmus,whegul2,
ichthyaetus melanocephalus,medgul1,
ichthyaetus relictus,relgul2,
icteria virens,yebcha,
icterus abeillei,blbori1,
icterus auratus,oraori1,
icterus auricapillus,orcori1,
icterus bonana,marori1,
icterus bullockii,bulori,
icterus cayanensis,epaori1,
icterus chrysater,yebori1,
icterus croconotus,orbtro3,
icterus cucullatus,hooori,
icterus dominicensis,graori1,
icterus fuertesi,orcori,
icterus galbula,balori,
icterus graceannae,wheori1,
icterus graduacauda,audori,
icterus gularis,altori,
icterus icterus,ventro1,
icterus jamacaii,camtro1,
icterus laudabilis,stlori1,
icterus leucopteryx,jamori1,
icterus maculialatus,bawori1,
icterus melanopsis,graori2,
icterus mesomelas,yetori1,
icterus nigrogularis,yelori1,
icterus northropi,graori3,
icterus oberi,monori1,
icterus parisorum,scoori,
icterus pectoralis,spbori,
icterus portoricensis,graori4,
icterus prosthemelas,bkcori,
icterus pustulatus,stbori,
icterus pyrrhopterus,epaori4,
icterus spurius,orcori,
icterus wagleri,bkvori,
ictinaetus malaiensis,blaeag1,
ictinia mississippiensis,miskit,
ictinia plumbea,plukit1,
idiopsar brachyurus,shtfin1,
idiopsar dorsalis,rbsfin1,
idiopsar erythronotus,wtsfin1,
idiopsar speculifer,wwdfin1,
iduna caligata,boowar1,
iduna natalensis,afywar1,
iduna opaca,weowar1,
iduna pallida,eaowar1,
iduna rama,sykwar2,
iduna similis,moywar1,
ifrita kowaldi,bucifr1,
ilicura militaris,pitman1,
illadopsis albipectus,scbill1,
illadopsis cleaveri,blaill1,
illadopsis distans,pabill1,
illadopsis fulvescens,broill1,
illadopsis puveli,puvill1,
illadopsis pyrrhoptera,mouill1,
illadopsis rufescens,ruwill1,
illadopsis rufipennis,pabill1,
illadopsis turdina,thrbab1,
incana incana,socwar2,
incaspiza laeta,bbifin1,
incaspiza ortizi,gywinf1,
incaspiza personata,rbifin1,
incaspiza pulchra,grifin1,
incaspiza watkinsi,liifin1,
indicator archipelagicus,malhon1,
indicator conirostris,thbhon1,
indicator exilis,leahon2,
indicator indicator,grehon2,
indicator maculatus,spohon2,
indicator meliphilus,palhon1,
indicator minor,leshon1,
indicator pumilio,dwahon1,
indicator variegatus,scthon1,
indicator willcocksi,wilhon2,
indicator xanthonotus,yerhon1,
inezia caudata,pattyr3,
inezia inornata,platyr1,
inezia subflava,amatyr1,
inezia tenuirostris,slbtyr1,
iodopleura fusca,duspur1,
iodopleura isabellae,whbpur1,
iodopleura pipra,butpur1,
iole cacharensis,cacbul1,
iole charlottae,chabul1,
iole crypta,buvbul1,
iole finschii,finbul1,
iole palawanensis,subbul1,
iole propinqua,gyebul1,
iole viridescens,olibul1,
irania gutturalis,whtrob3,
irediparra gallinacea,cocjac1,
irena cyanogastra,phifab1,
irena puella,asfblu1,
irena tweeddalii,asfblu1,
iridophanes pulcherrimus,gochon2,
iridosornis analis,yettan1,
iridosornis jelskii,goctan3,
iridosornis porphyrocephalus,pumtan2,
iridosornis reinhardti,yestan1,
iridosornis rufivertex,goctan4,
isleria guttata,rubant3,
isleria hauxwelli,pltant1,
ispidina lecontei,dwakin1,
ispidina picta,afpkin1,
ithaginis cruentus,blophe1,
ixobrychus cinnamomeus,cinbit1,
ixobrychus dubius,bkbbit1,
ixobrychus eurhythmus,schbit1,
ixobrychus exilis,leabit,
ixobrychus flavicollis,blabit1,
ixobrychus involucris,stbbit1,
ixobrychus minutus,litbit1,
ixobrychus novaezelandiae,nezbit1,
ixobrychus sinensis,yelbit,
ixobrychus sturmii,dwabit1,
ixodia cyaniventris,gybbul1,
ixodia erythropthalmos,spebul1,
ixodia squamata,scbbul1,
ixonotus guttatus,spogre1,
ixoreus naevius,varthr,
ixos malaccensis,strbul1,
ixos mcclellandii,moubul2,
ixos nicobariensis,nicbul2,
ixos sumatranus,sunbul2,
ixos virescens,sunbul2,
ixothraupis guttata,spetan1,
ixothraupis punctata,spotan1,
ixothraupis rufigula,ruttan1,
ixothraupis varia,dottan1,
ixothraupis xanthogastra,yebtan2,
jabiru mycteria,jabiru,
jacamaralcyon tridactyla,thtjac1,
jacamerops aureus,grejac2,
jacana jacana,watjac1,
jacana spinosa,norjac,
jubula lettii,manowl1,
junco bairdi,yeejun2,
junco hyemalis,daejun,
junco insularis,daejun2,
junco phaeonotus,yeejun,
junco vulcani,voljun1,
jynx ruficollis,runwry1,
jynx torquilla,eurwry,
kakamega poliothorax,gycill1,
kaupifalco monogrammicus,lizbuz1,
kempiella flavovirescens,olifly3,
kempiella griseoceps,yelfly4,
kenopia striata,stwbab3,
ketupa flavipes,tafowl1,
ketupa ketupu,bufowl2,
ketupa zeylonensis,brfowl1,
klais guimeti,vihhum1,
kleinothraupis atropileus,blchem1,
kleinothraupis auricularis,blchem1,
kleinothraupis calophrys,orbhem1,
kleinothraupis parodii,parhem1,
kleinothraupis reyi,gychem1,
knipolegus aterrimus,whwblt1,
knipolegus cabanisi,andtyr2,
knipolegus cyanirostris,bbbtyr1,
knipolegus franciscanus,whwblt2,
knipolegus hudsoni,hubtyr1,
knipolegus lophotes,crbtyr1,
knipolegus nigerrimus,vebtyr1,
knipolegus orenocensis,rivtyr2,
knipolegus poecilocercus,ambtyr1,
knipolegus poecilurus,ruttyr1,
knipolegus signatus,andtyr3,
knipolegus striaticeps,cintyr1,
kurochkinegramma hypogrammicum,punsun1,
lacedo pulchella,bankin1,
lafresnaya lafresnayi,mouvel1,
lagonosticta landanae,pabfir1,
lagonosticta larvata,bkffir1,
lagonosticta nitidula,brnfir1,
lagonosticta rara,blbfir1,
lagonosticta rhodopareia,jamfir1,
lagonosticta rubricata,afffin,
lagonosticta rufopicta,babfir1,
lagonosticta sanguinodorsalis,rocfir1,
lagonosticta senegala,rebfir2,
lagonosticta umbrinodorsalis,reifir1,
lagonosticta virata,malfir1,
lagopus lagopus,wilpta,
lagopus leucura,whtpta1,
lagopus muta,rocpta1,
lalage atrovirens,blbtri1,
lalage aurea,rubtri1,
lalage conjuncta,vartri3,
lalage fimbriata,lescus1,
lalage leucomela,vartri1,
lalage leucoptera,blbtri1,
lalage leucopyga,lottri1,
lalage leucopygialis,whrtri1,
lalage maculosa,poltri1,
lalage melanoleuca,bawtri1,
lalage melanoptera,bkhcus1,
lalage melaschistos,bkwcus1,
lalage moesta,whbtri1,
lalage newtoni,reucus1,
lalage nigra,pietri1,
lalage polioptera,indcus1,
lalage sharpei,samtri1,
lalage sueurii,whwtri2,
lalage tricolor,whwtri1,
lalage typica,maucus1,
lampornis amethystinus,amthum1,
lampornis calolaemus,ptmgem,
lampornis castaneoventris,wtmgem1,
lampornis cinereicauda,wtmgem1,
lampornis clemenciae,buthum,
lampornis hemileucus,wbmgem1,
lampornis sybillae,gbmgem1,
lampornis viridipallens,gtmgem1,
lamprolaima rhami,gathum1,
lamprolia klinesmithi,silkta3,
lamprolia victoriae,silkta2,
lampropsar tanagrinus,vefgra1,
lamprospiza melanoleuca,rbptan1,
lamprotornis acuticaudus,stgsta1,
lamprotornis albicapillus,whcsta3,
lamprotornis australis,bugsta1,
lamprotornis bicolor,afpsta1,
lamprotornis caudatus,ltgsta1,
lamprotornis chalcurus,btgsta1,
lamprotornis chalybaeus,gbesta1,
lamprotornis chloropterus,lbesta1,
lamprotornis elisabeth,lbesta1,
lamprotornis fischeri,fissta1,
lamprotornis hildebrandti,hilsta1,
lamprotornis iris,emesta1,
lamprotornis mevesii,megsta1,
lamprotornis nitens,capgls1,
lamprotornis ornatus,prgsta1,
lamprotornis pulcher,chbsta1,
lamprotornis purpureus,pugsta1,
lamprotornis purpuroptera,ruegls1,
lamprotornis regius,gobsta5,
lamprotornis shelleyi,shesta1,
lamprotornis splendidus,spgsta1,
lamprotornis superbus,supsta1,
lamprotornis unicolor,ashsta2,
laniarius aethiopicus,trobou2,
laniarius amboimensis,gabbus1,
laniarius atrococcineus,crbgon1,
laniarius atroflavus,yebbou1,
laniarius barbarus,comgon1,
laniarius bicolor,gabbou1,
laniarius brauni,brabus1,
laniarius erythrogaster,blhgon1,
laniarius ferrugineus,soubou1,
laniarius fuelleborni,fuebou1,
laniarius funebris,slcbou1,
laniarius holomelas,mosbou4,
laniarius leucorhynchus,soobou1,
laniarius luehderi,luebus1,
laniarius major,trobou1,
laniarius mufumbiri,papgon1,
laniarius nigerrimus,sombou1,
laniarius poensis,mosbou1,
laniarius ruficeps,renbus1,
laniarius sublacteus,zanbou1,
laniarius turatii,turbou1,
laniarius willardi,wisbou1,
laniellus albonotatus,spocro1,
laniellus langbianis,gyccro1,
laniisoma buckleyi,shlcot1,
laniisoma elegans,shlcot1,
lanio aurantius,btstan1,
lanio fulvus,fustan1,
lanio leucothorax,wtstan1,
lanio versicolor,wwstan1,
laniocera hypopyrra,cinmou1,
laniocera rufescens,spemou1,
lanioturdus torquatus,whtshr1,
lanius borealis,norshr4,
lanius bucephalus,buhshr1,
lanius cabanisi,lotfis1,
lanius collaris,soufis1,
lanius collurio,rebshr1,
lanius collurioides,burshr1,
lanius cristatus,brnshr,
lanius dorsalis,taifis1,
lanius excubitor,norshr1,
lanius excubitoroides,gybfis1,
lanius giganteus,chgshr3,
lanius gubernator,emishr1,
lanius humeralis,norfis1,
lanius isabellinus,isashr1,
lanius ludovicianus,logshr,
lanius mackinnoni,macshr1,
lanius meridionalis,ibgshr1,
lanius minor,legshr2,
lanius newtoni,newfis1,
lanius nubicus,masshr1,
lanius phoenicuroides,rutshr2,
lanius schach,lotshr1,
lanius senator,wooshr1,
lanius somalicus,somfis1,
lanius souzae,soushr3,
lanius sphenocercus,chgshr1,
lanius tephronotus,gybshr1,
lanius tigrinus,tigshr1,
lanius validirostris,gycshr1,
lanius vittatus,babshr1,
larosterna inca,incter1,
larus argentatus,hergul,
larus armenicus,armgul1,
larus atlanticus,olrgul1,
larus belcheri,belgul,
larus brachyrhynchus,mewgul2,
larus cachinnans,casgul2,
larus californicus,calgul,
larus canus,mewgul,
larus crassirostris,bktgul,
larus delawarensis,ribgul,
larus dominicanus,kelgul,
larus fuscus,lbbgul,
larus glaucescens,glwgul,
larus glaucoides,y00478,
larus heermanni,heegul,
larus hyperboreus,glagul,
larus livens,yefgul,
larus marinus,gbbgul,
larus michahellis,yelgul1,
larus occidentalis,wesgul,
larus pacificus,pacgul1,
larus schistisagus,slbgul,
larus smithsonianus,hergul,
larus vegae,hergul,
larvivora akahige,japrob1,
larvivora brunnea,inbrob1,
larvivora cyane,sibrob,
larvivora komadori,ryurob1,
larvivora namiyei,ryurob1,
larvivora ruficeps,ruhrob1,
larvivora sibilans,rutrob1,
laterallus albigularis,whtcra1,
laterallus exilis,grbcra1,
laterallus fasciatus,blbcra1,
laterallus flaviventer,yebcra1,
laterallus jamaicensis,blkrai,
laterallus leucopyrrhus,rawcra1,
laterallus levraudi,rufcra2,
laterallus melanophaius,ruscra1,
laterallus rogersi,inirai1,
laterallus ruber,rudcra1,
laterallus spilonota,galrai1,
laterallus spiloptera,dowcra1,
laterallus xenopterus,rufcra1,
lathamus discolor,swipar1,
lathrotriccus euleri,eulfly1,
lathrotriccus griseipectus,gybfly1,
laticilla burnesii,ruvpri1,
laticilla cinerascens,swapri1,
legatus leucophaius,pirfly1,
leiopicus mahrattensis,yecwoo1,
leioptila annectens,rubsib1,
leiothlypis celata,orcwar,
leiothlypis crissalis,colwar,
leiothlypis luciae,lucwar,
leiothlypis peregrina,tenwar,
leiothlypis ruficapilla,naswar,
leiothlypis virginiae,virwar,
leiothrix argentauris,siemes1,
leiothrix lutea,reblei,
leipoa ocellata,mallee1,
leistes bellicosus,permea1,
leistes defilippii,pammea1,
leistes loyca,lotmea1,
leistes militaris,rebbla1,
leistes superciliaris,whbbla2,
leonardina woodi,bagbab2,
lepidocolaptes affinis,spcwoo1,
lepidocolaptes albolineatus,linwoo3,
lepidocolaptes angustirostris,nabwoo1,
lepidocolaptes duidae,linwoo4,
lepidocolaptes falcinellus,scawoo2,
lepidocolaptes fatimalimae,inawoo1,
lepidocolaptes fuscicapillus,ducwoo1,
lepidocolaptes lacrymiger,monwoo1,
lepidocolaptes leucogaster,whswoo1,
lepidocolaptes souleyetii,sthwoo1,
lepidocolaptes squamatus,scawoo1,
lepidopygia nana,madmun1,
lepidothrix coeruleocapilla,cecman1,
lepidothrix coronata,blcman1,
lepidothrix iris,opcman1,
lepidothrix isidorei,blrman1,
lepidothrix nattereri,sncman1,
lepidothrix serena,whfman1,
lepidothrix suavissima,orbman1,
lepidothrix velutina,blcman1,
lepidothrix vilasboasi,gocman2,
leptasthenura aegithaloides,pmtspi1,
leptasthenura andicola,antspi1,
leptasthenura fuliginiceps,bctspi1,
leptasthenura pileata,rctspi1,
leptasthenura platensis,tutspi1,
leptasthenura setaria,artspi1,
leptasthenura striata,sttspi1,
leptasthenura striolata,sttspi2,
leptasthenura xenothorax,wbtspi1,
leptocoma aspasia,blksun1,
leptocoma brasiliana,vahsun1,
leptocoma calcostetha,cotsun2,
leptocoma minima,crbsun2,
leptocoma sperata,putsun3,
leptocoma zeylonica,pursun3,
leptodon cayanensis,grhkit1,
leptodon forbesi,whckit1,
leptopoecile elegans,crtwar1,
leptopoecile sophiae,wbtwar1,
leptopogon amaurocephalus,secfly1,
leptopogon rufipectus,rubfly2,
leptopogon superciliaris,slcfly1,
leptopogon taczanowskii,incfly1,
leptopterus chabert,chavan2,
leptoptilos crumenifer,marsto1,
leptoptilos dubius,greadj1,
leptoptilos javanicus,lesadj1,
leptosittaca branickii,goppar1,
leptosomus discolor,cuckoo1,
leptotila battyi,gyhdov1,
leptotila cassinii,grcdov1,
leptotila conoveri,toldov1,
leptotila jamaicensis,cardov1,
leptotila megalura,latdov1,
leptotila ochraceiventris,ocbdov1,
leptotila pallida,paldov1,
leptotila plumbeiceps,gyhdov1,
leptotila rufaxilla,grfdov1,
leptotila verreauxi,whtdov,
leptotila wellsi,gredov1,
leptotrygon veraguensis,obqdov1,
lerwa lerwa,snopar1,
lesbia nuna,grttra1,
lesbia victoriae,blttra1,
lessonia oreas,andneg1,
lessonia rufa,ausneg1,
leucippus fallax,bufhum1,
leucocarbo atriceps,impcor1,
leucocarbo bougainvillii,guacor1,
leucocarbo bransfieldensis,antsha1,
leucocarbo campbelli,caisha2,
leucocarbo carunculatus,rofsha1,
leucocarbo chalconotus,brosha1,
leucocarbo colensoi,auisha1,
leucocarbo georgianus,sogsha1,
leucocarbo magellanicus,magcor1,
leucocarbo melanogenis,crosha1,
leucocarbo nivalis,heisha1,
leucocarbo onslowi,chisha1,
leucocarbo purpurascens,macsha1,
leucocarbo ranfurlyi,boisha1,
leucocarbo stewarti,brosha1,
leucocarbo verrucosus,kersha1,
leucochloris albicollis,whthum2,
leucogeranus leucogeranus,sibcra1,
leuconotopicus albolarvatus,whhwoo,
leuconotopicus arizonae,ariwoo,
leuconotopicus borealis,recwoo,
leuconotopicus fumigatus,smbwoo1,
leuconotopicus stricklandi,strwoo,
leuconotopicus villosus,haiwoo,
leucopeza semperi,semwar1,
leucophaeus atricilla,laugul,
leucophaeus fuliginosus,lavgul1,
leucophaeus modestus,grygul,
leucophaeus pipixcan,fragul,
leucophaeus scoresbii,dolgul2,
leucopsar rothschildi,balmyn1,
leucopternis kuhli,whbhaw2,
leucopternis melanops,blfhaw1,
leucopternis semiplumbeus,semhaw,
leucoptilon concretum,whtfly2,
leucosarcia melanoleuca,wonpig1,
leucosticte arctoa,asrfin1,
leucosticte atrata,bkrfin,
leucosticte australis,bcrfin,
leucosticte brandti,bhmfin1,
leucosticte nemoricola,plmfin1,
leucosticte tephrocotis,gcrfin,
lewinia mirifica,luzrai1,
lewinia muelleri,auirai1,
lewinia pectoralis,lewrai1,
lewinia striata,slbrai1,
lichenostomus cratitius,pughon1,
lichenostomus melanops,yethon3,
lichmera alboauricularis,siehon1,
lichmera argentauris,olihon1,
lichmera deningeri,burhon1,
lichmera flavicans,yeehon1,
lichmera incana,dabhon1,
lichmera indistincta,brohon1,
lichmera limbata,indhon1,
lichmera monticola,serhon1,
lichmera notabilis,blchon1,
lichmera squamata,whthon2,
limnoctites rectirostris,stbree2,
limnoctites sulphuriferus,sutspi1,
limnodromus griseus,shbdow,
limnodromus scolopaceus,lobdow,
limnodromus semipalmatus,asidow1,
limnornis curvirostris,cubree1,
limnothlypis swainsonii,swawar,
limosa fedoa,margod,
limosa haemastica,hudgod,
limosa lapponica,batgod,
limosa limosa,bktgod,
linaria cannabina,eurlin1,
linaria flavirostris,twite1,
linaria johannis,warlin1,
linaria yemenensis,yemlin1,
linurgus olivaceus,orifin1,
liocichla bugunorum,buglio1,
liocichla omeiensis,gyflio1,
liocichla phoenicea,reflio2,
liocichla ripponi,reflio3,
liocichla steerii,stelio1,
lioparus chrysotis,gobful1,
liosceles thoracicus,rubtap1,
lipaugus ater,bagcot1,
lipaugus conditus,gywcot1,
lipaugus fuscocinereus,duspih1,
lipaugus lanioides,civpih1,
lipaugus streptophorus,rocpih1,
lipaugus unirufus,rufpih1,
lipaugus uropygialis,scwpih1,
lipaugus vociferans,scrpih1,
lipaugus weberi,chcpih1,
lissotis hartlaubii,harbus2,
lissotis melanogaster,bkbbus1,
loboparadisea sericea,yebsat1,
lobotos lobatus,ghacus1,
lobotos oriolinus,oricus1,
lochmias nematura,shtstr1,
locustella accentor,frbwar1,
locustella alfredi,baswar1,
locustella alishanensis,taibuw1,
locustella castanea,cbbwar2,
locustella caudata,ltbwar1,
locustella chengi,sicbuw1,
locustella davidi,spobuw1,
locustella disturbans,cbbwar3,
locustella fluviatilis,eurwar2,
locustella idonea,dabwar1,
locustella kashmirensis,spobuw2,
locustella lanceolata,lanwar,
locustella luscinioides,savwar1,
locustella luteoventris,brbwar2,
locustella major,lbbwar1,
locustella mandelli,rubwar1,
locustella montis,jabwar1,
locustella musculus,cbbwar4,
locustella naevia,cogwar1,
locustella portenta,talgrw1,
locustella seebohmi,benbuw1,
locustella tacsanowskia,chbwar1,
locustella thoracica,spobuw3,
loddigesia mirabilis,marspa1,
lonchura atricapilla,chemun,
lonchura caniceps,gyhmun1,
lonchura castaneothorax,chbmun1,
lonchura ferruginosa,whcmun1,
lonchura flaviprymna,yermun1,
lonchura forbesi,neimun1,
lonchura fuscans,dusmun1,
lonchura grandis,gramun1,
lonchura hunsteini,motmun1,
lonchura kelaarti,bltmun1,
lonchura leucogastra,whbmun1,
lonchura leucogastroides,javmun1,
lonchura maja,whhmun1,
lonchura malacca,trimun,
lonchura melaena,bismun1,
lonchura molucca,blfmun1,
lonchura montana,snmmun1,
lonchura monticola,alpmun1,
lonchura nevermanni,gycmun1,
lonchura pallida,pahmun1,
lonchura punctulata,nutman,
lonchura quinticolor,ficmun1,
lonchura spectabilis,hoomun1,
lonchura striata,whrmun,
lonchura stygia,blamun1,
lonchura teerinki,blbmun1,
lonchura vana,gybmun1,
lophaetus occipitalis,loceag1,
lophoceros alboterminatus,crohor1,
lophoceros bradfieldi,brahor1,
lophoceros camurus,rbdhor1,
lophoceros fasciatus,afphor1,
lophoceros hemprichii,hemhor1,
lophoceros nasutus,afghor1,
lophoceros pallidirostris,pabhor1,
lophochroa leadbeateri,pincoc1,
lophodytes cucullatus,hoomer,
lophoictinia isura,sqtkit1,
lopholaimus antarcticus,toppig1,
lophonetta specularioides,creduc1,
lophophanes cristatus,cretit2,
lophophanes dichrous,gyctit1,
lophophorus impejanus,himmon1,
lophophorus lhuysii,chimon1,
lophophorus sclateri,sclmon1,
lophopsittacus mauritianus,brbpar3,
lophorina minor,lesbop1,
lophorina niedda,vosbop1,
lophorina superba,grsbop1,
lophornis adorabilis,whccoq1,
lophornis brachylophus,shccoq,
lophornis chalybeus,fescoq3,
lophornis delattrei,ruccoq1,
lophornis gouldii,doecoq1,
lophornis helenae,blccoq1,
lophornis magnificus,fricoq1,
lophornis ornatus,tufcoq1,
lophornis pavoninus,peacoq1,
lophornis stictolophus,spacoq1,
lophornis verreauxii,fescoq2,
lophospingus griseocristatus,gycfin1,
lophospingus pusillus,blcfin1,
lophostrix cristata,creowl1,
lophotibis cristata,madibi1,
lophotis gindiana,bucbus1,
lophotis ruficrista,recbus1,
lophotis savilei,savbus1,
lophotriccus eulophotes,lcptyr1,
lophotriccus galeatus,heptyr1,
lophotriccus pileatus,scptyr1,
lophotriccus vitiosus,dbptyr1,
lophotriorchis kienerii,rubeag2,
lophura bulweri,bulphe1,
lophura diardi,siafir1,
lophura edwardsi,edwphe1,
lophura erythrophthalma,crefir2,
lophura ignita,crefir1,
lophura inornata,salphe1,
lophura leucomelanos,kalphe,
lophura nycthemera,silphe,
lophura swinhoii,swiphe1,
loriculus amabilis,mohpar1,
loriculus aurantiifrons,paphap1,
loriculus beryllinus,cehpar1,
loriculus camiguinensis,camhap1,
loriculus catamene,sahpar2,
loriculus exilis,pyghap1,
loriculus flosculus,wahpar2,
loriculus galgulus,bchpar1,
loriculus philippensis,phihap1,
loriculus pusillus,ythpar1,
loriculus sclateri,sulhap1,
loriculus stigmatus,suhpar1,
loriculus tener,gfhpar1,
loriculus vernalis,vehpar1,
loriotus cristatus,flctan1,
loriotus luctuosus,whstan1,
loriotus rufiventer,yectan1,
lorius albidinucha,whnlor2,
lorius chlorocercus,yeblor1,
lorius domicella,punlor1,
lorius garrulus,chalor1,
lorius hypoinochrous,publor1,
lorius lory,blclor1,
loxia curvirostra,redcro,
loxia leucoptera,whwcro,
loxia megaplaga,hiscro,
loxia pytyopsittacus,parcro2,
loxia scotica,scocro1,
loxia sinesciuris,redcro9,
loxigilla barbadensis,barbul1,
loxigilla noctis,leabul1,
loxioides bailleui,palila,
loxipasser anoxanthus,yesgra1,
loxops caeruleirostris,akekee,
loxops coccineus,akepa1,
loxops mana,hawcre,
loxops ochraceus,akepa3,
loxops wolstenholmei,akepa2,
lullula arborea,woolar1,
lurocalis rufiventris,rubnig1,
lurocalis semitorquatus,shtnig1,
luscinia luscinia,thrnig1,
luscinia megarhynchos,comnig1,
luscinia phaenicuroides,whbred1,
luscinia svecica,blueth,
lybius bidentatus,dotbar1,
lybius chaplini,chabar1,
lybius dubius,beabar1,
lybius guifsobalito,blbbar3,
lybius leucocephalus,whhbar1,
lybius melanopterus,brbbar1,
lybius minor,blbbar1,
lybius rolleti,blbbar4,
lybius rubrifacies,refbar1,
lybius torquatus,blcbar1,
lybius undatus,banbar1,
lybius vieilloti,viebar1,
lycocorax obiensis,parcro1,
lycocorax pyrrhopterus,parcro1,
lymnocryptes minimus,jacsni,
lyncornis macrotis,grenig1,
lyncornis temminckii,malnig1,
lyrurus mlokosiewiczi,caugro1,
lyrurus tetrix,blagro1,
macgregoria pulchra,machon3,
machaerirhynchus flaviventer,yebboa1,
machaerirhynchus nigripectus,blbboa1,
machaeropterus deliciosus,clwman1,
machaeropterus eckelberryi,paiman1,
machaeropterus pyrocephalus,ficman1,
machaeropterus regulus,strman2,
machaeropterus striolatus,strman5,
macheiramphus alcinus,bathaw1,
machetornis rixosa,cattyr,
machlolophus aplonotus,indtit1,
machlolophus holsti,yeltit2,
machlolophus nuchalis,whwtit2,
machlolophus spilonotus,yectit1,
machlolophus xanthogenys,blltit1,
mackenziaena leachii,latant1,
mackenziaena severa,tufant1,
macroagelaius imthurni,gotgra1,
macroagelaius subalaris,mougra1,
macrocephalon maleo,maleo1,
macronectes giganteus,angpet1,
macronectes halli,norgip1,
macronus ptilosus,fbtbab1,
macronus striaticeps,brtbab1,
macronyx ameliae,rotlon1,
macronyx aurantiigula,panlon1,
macronyx capensis,ortlon1,
macronyx croceus,yetlon1,
macronyx flavicollis,abylon1,
macronyx fuelleborni,fuelon2,
macronyx grimwoodi,grilon1,
macronyx sharpei,shalon1,
