birdnet,comment
Curaeus curaeus,Austral Blackbird
Curruca communis,Greater Whitethroat
Curruca curruca,Lesser Whitethroat
Curruca hortensis,Western Orphean Warbler
Curruca iberiae,Western Subalpine Warbler
Curruca melanocephala,Sardinian Warbler
Curruca undata,Dartford Warbler
Cyanerpes cyaneus,Red-legged Honeycreeper
Cyanistes caeruleus,Eurasian Blue Tit
Cyanistes teneriffae,African Blue Tit
Cyanocitta cristata,Blue Jay
Cyanocitta stelleri,Steller's Jay
Cyanocompsa parellina,Blue Bunting
Cyanocorax affinis,Black-chested Jay
Cyanocorax caeruleus,Azure Jay
Cyanocorax chrysops,Plush-crested Jay
Cyanocorax cristatellus,Curl-crested Jay
Cyanocorax cyanomelas,Purplish Jay
Cyanocorax melanocyaneus,Bushy-crested Jay
Cyanocorax violaceus,Violaceous Jay
Cyanocorax yncas,Green Jay
Cyanocorax yucatanicus,Yucatan Jay
Cyanoderma chrysaeum,Golden Babbler
Cyanoderma erythropterum,Chestnut-winged Babbler
Cyanoderma ruficeps,Rufous-capped Babbler
Cyanoliseus patagonus,Burrowing Parakeet
Cyanoloxia brissonii,Ultramarine Grosbeak
Cyanoloxia cyanoides,Blue-black Grosbeak
Cyanolyca turcosa,Turquoise Jay
Cyanomitra olivacea,Olive Sunbird
Cyanopica cooki,Iberian Magpie
Cyanoptila cyanomelana,Blue-and-white Flycatcher
Cyclarhis gujanensis,Rufous-browed Peppershrike
Cyclarhis nigrirostris,Black-billed Peppershrike
Cygnus buccinator,Trumpeter Swan
Cygnus columbianus,Tundra Swan
Cygnus cygnus,Whooper Swan
Cygnus olor,Mute Swan
Cymbilaimus lineatus,Fasciated Antshrike
Cynanthus latirostris,Broad-billed Hummingbird
Cyornis hainanus,Hainan Blue Flycatcher
Cyornis rubeculoides,Blue-throated Flycatcher
Cyornis tickelliae,Tickell's Blue Flycatcher
Cyphorhinus phaeocephalus,Song Wren
Cypsiurus balasiensis,Asian Palm-Swift
Cyrtonyx montezumae,Montezuma Quail
Cyrtoxipha columbiana,Columbian Trig
Dacelo novaeguineae,Laughing Kookaburra
Dacnis cayana,Blue Dacnis
Daptrius ater,Black Caracara
Delichon urbicum,Common House-Martin
Dendragapus fuliginosus,Sooty Grouse
Dendragapus obscurus,Dusky Grouse
Dendrexetastes rufigula,Cinnamon-throated Woodcreeper
Dendrocincla anabatina,Tawny-winged Woodcreeper
Dendrocincla fuliginosa,Plain-brown Woodcreeper
Dendrocincla turdina,Plain-winged Woodcreeper
Dendrocitta formosae,Gray Treepie
Dendrocitta vagabunda,Rufous Treepie
Dendrocolaptes picumnus,Black-banded Woodcreeper
Dendrocolaptes platyrostris,Planalto Woodcreeper
Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper
Dendrocopos leucotos,White-backed Woodpecker
Dendrocopos major,Great Spotted Woodpecker
Dendrocopos syriacus,Syrian Woodpecker
Dendrocoptes medius,Middle Spotted Woodpecker
Dendrocygna autumnalis,Black-bellied Whistling-Duck
Dendrocygna bicolor,Fulvous Whistling-Duck
Dendrocygna javanica,Lesser Whistling-Duck
Dendrocygna viduata,White-faced Whistling-Duck
Dendroma rufa,Buff-fronted Foliage-gleaner
Dendroplex picus,Straight-billed Woodcreeper
Dendrortyx leucophrys,Buffy-crowned Wood-Partridge
Dicaeum concolor,Nilgiri Flowerpecker
Dicaeum cruentatum,Scarlet-backed Flowerpecker
Dicaeum erythrorhynchos,Pale-billed Flowerpecker
Dicaeum hirundinaceum,Mistletoebird
Dicaeum ignipectus,Fire-breasted Flowerpecker
Dicaeum trigonostigma,Orange-bellied Flowerpecker
Dicrurus adsimilis,Fork-tailed Drongo
Dicrurus aeneus,Bronzed Drongo
Dicrurus bracteatus,Spangled Drongo
Dicrurus caerulescens,White-bellied Drongo
Dicrurus hottentottus,Hair-crested Drongo
Dicrurus leucophaeus,Ashy Drongo
Dicrurus macrocercus,Black Drongo
Dicrurus paradiseus,Greater Racket-tailed Drongo
Dicrurus remifer,Lesser Racket-tailed Drongo
Diglossa albilatera,White-sided Flowerpiercer
Diglossa caerulescens,Bluish Flowerpiercer
Diglossa cyanea,Masked Flowerpiercer
Diglossa humeralis,Black Flowerpiercer
Diglossa lafresnayii,Glossy Flowerpiercer
Dinopium benghalense,Black-rumped Flameback
Diopsittaca nobilis,Red-shouldered Macaw
Diuca diuca,Diuca Finch
Dives dives,Melodious Blackbird
Dives warczewiczi,Scrub Blackbird
Dog,Dog
Dolichonyx oryzivorus,Bobolink
Donacobius atricapilla,Black-capped Donacobius
Drepanis coccinea,Iiwi
Dromococcyx phasianellus,Pheasant Cuckoo
Drymophila ferruginea,Ferruginous Antbird
Drymophila striaticeps,Streak-headed Antbird
Dryobates affinis,Red-stained Woodpecker
Dryobates albolarvatus,White-headed Woodpecker
Dryobates arizonae,Arizona Woodpecker
Dryobates borealis,Red-cockaded Woodpecker
Dryobates fumigatus,Smoky-brown Woodpecker
Dryobates lignarius,Striped Woodpecker
Dryobates minor,Lesser Spotted Woodpecker
Dryobates nuttallii,Nuttall's Woodpecker
Dryobates passerinus,Little Woodpecker
Dryobates pubescens,Downy Woodpecker
Dryobates scalaris,Ladder-backed Woodpecker
Dryobates spilogaster,White-spotted Woodpecker
Dryobates villosus,Hairy Woodpecker
Dryocopus javensis,White-bellied Woodpecker
Dryocopus lineatus,Lineated Woodpecker
Dryocopus martius,Black Woodpecker
Dryocopus pileatus,Pileated Woodpecker
Dryophytes andersonii,Pine Barrens Treefrog
Dryophytes arenicolor,Canyon Treefrog
Dryophytes avivoca,Bird-voiced Treefrog
Dryophytes chrysoscelis,Cope's Gray Treefrog
Dryophytes cinereus,Green Treefrog
Dryophytes femoralis,Pine Woods Treefrog
Dryophytes gratiosus,Barking Treefrog
Dryophytes squirellus,Squirrel Treefrog
Dryophytes versicolor,Gray Treefrog
Dryoscopus cubla,Black-backed Puffback
Dubusia taeniata,Buff-breasted Mountain Tanager
Ducula aenea,Green Imperial-Pigeon
Ducula badia,Mountain Imperial-Pigeon
Dumetella carolinensis,Gray Catbird
Dumetia hyperythra,Tawny-bellied Babbler
Dysithamnus mentalis,Plain Antvireo
Eclectus roratus,Eclectus Parrot
Edolisoma tenuirostre,Common Cicadabird
Egretta caerulea,Little Blue Heron
Egretta garzetta,Little Egret
Egretta thula,Snowy Egret
Egretta tricolor,Tricolored Heron
Elaenia albiceps,White-crested Elaenia
Elaenia chiriquensis,Lesser Elaenia
Elaenia cristata,Plain-crested Elaenia
Elaenia flavogaster,Yellow-bellied Elaenia
Elaenia frantzii,Mountain Elaenia
Elaenia martinica,Caribbean Elaenia
Elaenia pallatangae,Sierran Elaenia
Elaenia parvirostris,Small-billed Elaenia
Elaenia spectabilis,Large Elaenia
Elanoides forficatus,Swallow-tailed Kite
Elanus caeruleus,Black-winged Kite
Elanus leucurus,White-tailed Kite
Electron platyrhynchum,Broad-billed Motmot
Eleutherodactylus planirostris,Greenhouse Frog
Emberiza calandra,Corn Bunting
Emberiza cia,Rock Bunting
Emberiza cioides,Meadow Bunting
Emberiza cirlus,Cirl Bunting
Emberiza citrinella,Yellowhammer
Emberiza elegans,Yellow-throated Bunting
Emberiza flaviventris,Golden-breasted Bunting
Emberiza hortulana,Ortolan Bunting
Emberiza melanocephala,Black-headed Bunting
Emberiza pusilla,Little Bunting
Emberiza rustica,Rustic Bunting
Emberiza schoeniclus,Reed Bunting
Emberiza spodocephala,Black-faced Bunting
Emberiza tahapisi,Cinnamon-breasted Bunting
Emberizoides herbicola,Wedge-tailed Grass-Finch
Embernagra platensis,Great Pampa-Finch
Eminia lepida,Gray-capped Warbler
Empidonax alnorum,Alder Flycatcher
Empidonax difficilis,Pacific-slope Flycatcher
Empidonax flavescens,Yellowish Flycatcher
Empidonax flaviventris,Yellow-bellied Flycatcher
Empidonax fulvifrons,Buff-breasted Flycatcher
Empidonax hammondii,Hammond's Flycatcher
Empidonax minimus,Least Flycatcher
Empidonax oberholseri,Dusky Flycatcher
Empidonax occidentalis,Cordilleran Flycatcher
Empidonax traillii,Willow Flycatcher
Empidonax virescens,Acadian Flycatcher
Empidonax wrightii,Gray Flycatcher
Empidonomus aurantioatrocristatus,Crowned Slaty Flycatcher
Empidonomus varius,Variegated Flycatcher
Engine,Engine
Enicurus leschenaulti,White-crowned Forktail
Entomyzon cyanotis,Blue-faced Honeyeater
Environmental,Environmental
Eolophus roseicapilla,Galah
Eopsaltria australis,Eastern Yellow Robin
Epinecrophylla fulviventris,Checker-throated Stipplethroat
Eremophila alpestris,Horned Lark
Eremopterix griseus,Ashy-crowned Sparrow-Lark
Erithacus rubecula,European Robin
Erpornis zantholeuca,White-bellied Erpornis
Erythrogenys erythrocnemis,Black-necklaced Scimitar-Babbler
Erythrogenys erythrogenys,Rusty-cheeked Scimitar-Babbler
Estrilda astrild,Common Waxbill
Eubucco bourcierii,Red-headed Barbet
Eucometis penicillata,Gray-headed Tanager
Eudocimus albus,White Ibis
Eudynamys orientalis,Pacific Koel
Eudynamys scolopaceus,Asian Koel
Eugenes fulgens,Rivoli's Hummingbird
Eumomota superciliosa,Turquoise-browed Motmot
Eumyias thalassinus,Verditer Flycatcher
Eunemobius carolinus,Carolina Ground Cricket
Eunemobius confusus,Confused Ground Cricket
Euodice cantans,African Silverbill
Euodice malabarica,Indian Silverbill
Eupetomena macroura,Swallow-tailed Hummingbird
Euphagus carolinus,Rusty Blackbird
Euphagus cyanocephalus,Brewer's Blackbird
Euphonia affinis,Scrub Euphonia
Euphonia chlorotica,Purple-throated Euphonia
Euphonia chrysopasta,Golden-bellied Euphonia
Euphonia gouldi,Olive-backed Euphonia
Euphonia hirundinacea,Yellow-throated Euphonia
Euphonia laniirostris,Thick-billed Euphonia
Euphonia minuta,White-vented Euphonia
Euphonia pectoralis,Chestnut-bellied Euphonia
Euphonia rufiventris,Rufous-bellied Euphonia
Euphonia trinitatis,Trinidad Euphonia
Euphonia violacea,Violaceous Euphonia
Euphonia xanthogaster,Orange-bellied Euphonia
Eupsittula aurea,Peach-fronted Parakeet
Eupsittula canicularis,Orange-fronted Parakeet
Eupsittula nana,Olive-throated Parakeet
Eupsittula pertinax,Brown-throated Parakeet
Eurillas latirostris,Yellow-whiskered Greenbul
Eurillas virens,Little Greenbul
Eurylaimus ochromalus,Black-and-yellow Broadbill
Eurypyga helias,Sunbittern
Eurystomus glaucurus,Broad-billed Roller
Eurystomus orientalis,Dollarbird
Euscarthmus meloryphus,Rufous-crowned Pygmy-Tyrant
Falco columbarius,Merlin
Falco naumanni,Lesser Kestrel
Falco peregrinus,Peregrine Falcon
Falco rufigularis,Bat Falcon
Falco sparverius,American Kestrel
Falco subbuteo,Eurasian Hobby
Falco tinnunculus,Eurasian Kestrel
Ficedula albicilla,Taiga Flycatcher
Ficedula albicollis,Collared Flycatcher
Ficedula hyperythra,Snowy-browed Flycatcher
Ficedula hypoleuca,European Pied Flycatcher
Ficedula narcissina,Narcissus Flycatcher
Ficedula parva,Red-breasted Flycatcher
Ficedula tricolor,Slaty-blue Flycatcher
Ficedula westermanni,Little Pied Flycatcher
Ficedula zanthopygia,Yellow-rumped Flycatcher
Fireworks,Fireworks
Fluvicola nengeta,Masked Water-Tyrant
Formicarius analis,Black-faced Antthrush
Formicarius colma,Rufous-capped Antthrush
Formicarius moniliger,Mayan Antthrush
Formicarius rufipectus,Rufous-breasted Antthrush
Formicivora grisea,White-fringed Antwren
Forpus conspicillatus,Spectacled Parrotlet
Forpus passerinus,Green-rumped Parrotlet
Foudia madagascariensis,Red Fody
Francolinus francolinus,Black Francolin
Francolinus pictus,Painted Francolin
Fregata minor,Great Frigatebird
Fringilla coelebs,Common Chaffinch
Fringilla montifringilla,Brambling
Fulica alai,Hawaiian Coot
Fulica americana,American Coot
Fulica atra,Eurasian Coot
Fulmarus glacialis,Northern Fulmar
Furnarius figulus,Wing-banded Hornero
Furnarius leucopus,Pale-legged Hornero
Furnarius rufus,Rufous Hornero
Galbula cyanescens,Bluish-fronted Jacamar
Galbula dea,Paradise Jacamar
Galbula ruficauda,Rufous-tailed Jacamar
Galerida cristata,Crested Lark
Galerida theklae,Thekla's Lark
Gallicrex cinerea,Watercock
Gallinago delicata,Wilson's Snipe
Gallinago gallinago,Common Snipe
Gallinago paraguaiae,Paraguayan Snipe
Gallinula chloropus,Eurasian Moorhen
Gallinula galeata,Common Gallinule
Gallirallus philippensis,Buff-banded Rail
Galloperdix spadicea,Red Spurfowl
Gallus gallus,Red Junglefowl
Gallus sonneratii,Gray Junglefowl
Garrulax canorus,Chinese Hwamei
Garrulax leucolophus,White-crested Laughingthrush
Garrulus glandarius,Eurasian Jay
Gastrophryne carolinensis,Eastern Narrow-mouthed Toad
Gastrophryne olivacea,Great Plains Narrow-mouthed Toad
Gavia immer,Common Loon
Gavia stellata,Red-throated Loon
Gavicalis virescens,Singing Honeyeater
Gelochelidon nilotica,Gull-billed Tern
Geococcyx californianus,Greater Roadrunner
Geoffroyus geoffroyi,Red-cheeked Parrot
Geokichla citrina,Orange-headed Thrush
Geopelia humeralis,Bar-shouldered Dove
Geopelia placida,Peaceful Dove
Geopelia striata,Zebra Dove
Geositta rufipennis,Rufous-banded Miner
Geothlypis aequinoctialis,Masked Yellowthroat
Geothlypis formosa,Kentucky Warbler
Geothlypis philadelphia,Mourning Warbler
Geothlypis poliocephala,Gray-crowned Yellowthroat
Geothlypis semiflava,Olive-crowned Yellowthroat
Geothlypis tolmiei,MacGillivray's Warbler
Geothlypis trichas,Common Yellowthroat
Geotrygon montana,Ruddy Quail-Dove
Geranoaetus albicaudatus,White-tailed Hawk
Geranospiza caerulescens,Crane Hawk
Gerygone igata,Gray Gerygone
Gerygone mouki,Brown Gerygone
Gerygone olivacea,White-throated Gerygone
Gerygone sulphurea,Golden-bellied Gerygone
Glareola pratincola,Collared Pratincole
Glaucestrilda caerulescens,Lavender Waxbill
Glaucidium brasilianum,Ferruginous Pygmy-Owl
Glaucidium cuculoides,Asian Barred Owlet
Glaucidium gnoma,Northern Pygmy-Owl
Glaucidium nana,Austral Pygmy-Owl
Glaucidium perlatum,Pearl-spotted Owlet
Glaucidium peruanum,Peruvian Pygmy-Owl
Glaucidium radiatum,Jungle Owlet
Glossopsitta concinna,Musk Lorikeet
Glyphorynchus spirurus,Wedge-billed Woodcreeper
Gnorimopsar chopi,Chopi Blackbird
Gracula indica,Southern Hill Myna
Gracula religiosa,Common Hill Myna
Gracupica contra,Asian Pied Starling
Gracupica nigricollis,Black-collared Starling
Grallaria guatimalensis,Scaled Antpitta
Grallaria nuchalis,Chestnut-naped Antpitta
Grallaria quitensis,Tawny Antpitta
Grallaria ruficapilla,Chestnut-crowned Antpitta
Grallaria saturata,Equatorial Antpitta
Grallina cyanoleuca,Magpie-lark
Grammatoptila striata,Striated Laughingthrush
Grus grus,Common Crane
Gryllus assimilis,Gryllus assimilis
Gryllus fultoni,Southern Wood Cricket
Gryllus pennsylvanicus,Fall Field Cricket
Gryllus rubens,Southeastern Field Cricket
Gubernetes yetapa,Streamer-tailed Tyrant
Guira guira,Guira Cuckoo
Gun,Gun
Gygis alba,White Tern
Gymnopithys bicolor,Bicolored Antbird
Gymnorhina tibicen,Australian Magpie
Gymnorhinus cyanocephalus,Pinyon Jay
Gymnoris xanthocollis,Yellow-throated Sparrow
Habia fuscicauda,Red-throated Ant-Tanager
Habia rubica,Red-crowned Ant-Tanager
Haematopus bachmani,Black Oystercatcher
Haematopus ostralegus,Eurasian Oystercatcher
Haematopus palliatus,American Oystercatcher
Haemorhous cassinii,Cassin's Finch
Haemorhous mexicanus,House Finch
Haemorhous purpureus,Purple Finch
Hafferia zeledoni,Zeledon's Antbird
Halcyon senegalensis,Woodland Kingfisher
Halcyon smyrnensis,White-throated Kingfisher
Haliaeetus albicilla,White-tailed Eagle
Haliaeetus leucocephalus,Bald Eagle
Haliaeetus leucogaster,White-bellied Sea-Eagle
Haliaeetus vocifer,African Fish-Eagle
Haliastur indus,Brahminy Kite
Harpactes erythrocephalus,Red-headed Trogon
Hedydipna collaris,Collared Sunbird
Helmitheros vermivorum,Worm-eating Warbler
Helopsaltes certhiola,Pallas's Grasshopper Warbler
Hemignathus wilsoni,Akiapolaau
Hemithraupis guira,Guira Tanager
Hemithraupis ruficapilla,Rufous-headed Tanager
Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant
Hemixos castanonotus,Chestnut Bulbul
Hemixos flavala,Ashy Bulbul
Henicorhina leucophrys,Gray-breasted Wood-Wren
Henicorhina leucosticta,White-breasted Wood-Wren
Herpetotheres cachinnans,Laughing Falcon
Herpsilochmus atricapillus,Black-capped Antwren
Herpsilochmus rufimarginatus,Rufous-margined Antwren
Heterophasia auricularis,White-eared Sibia
Heterophasia capistrata,Rufous Sibia
Hieraaetus pennatus,Booted Eagle
Hierococcyx sparverioides,Large Hawk-Cuckoo
Hierococcyx varius,Common Hawk-Cuckoo
Himantopus himantopus,Black-winged Stilt
Himantopus leucocephalus,Pied Stilt
Himantopus mexicanus,Black-necked Stilt
Himatione sanguinea,Apapane
Hippolais icterina,Icterine Warbler
Hippolais polyglotta,Melodious Warbler
Hirundinea ferruginea,Cliff Flycatcher
Hirundo neoxena,Welcome Swallow
Hirundo rustica,Barn Swallow
Horornis acanthizoides,Yellowish-bellied Bush Warbler
Horornis canturians,Manchurian Bush Warbler
Horornis diphone,Japanese Bush Warbler
Horornis fortipes,Brownish-flanked Bush Warbler
Human non-vocal,Human non-vocal
Human vocal,Human vocal
Human whistle,Human whistle
Hydrobates castro,Band-rumped Storm-Petrel
Hydrobates leucorhous,Leach's Storm-Petrel
Hydrophasianus chirurgus,Pheasant-tailed Jacana
Hydroprogne caspia,Caspian Tern
Hyliola regilla,Pacific Chorus Frog
Hylocharis chrysura,Gilded Hummingbird
Hylocichla mustelina,Wood Thrush
Hylomanes momotula,Tody Motmot
Hylophilus flavipes,Scrub Greenlet
Hylophilus poicilotis,Rufous-crowned Greenlet
Hylophylax naevioides,Spotted Antbird
Hypnelus ruficollis,Russet-throated Puffbird
Hypocnemis peruviana,Peruvian Warbling-Antbird
Hypoedaleus guttatus,Spot-backed Antshrike
Hypothymis azurea,Black-naped Monarch
Hypsipetes amaurotis,Brown-eared Bulbul
Hypsipetes ganeesa,Square-tailed Bulbul
Hypsipetes leucocephalus,Black Bulbul
Hypsipetes philippinus,Philippine Bulbul
Ibycter americanus,Red-throated Caracara
Ichthyaetus melanocephalus,Mediterranean Gull
Icteria virens,Yellow-breasted Chat
Icterus bullockii,Bullock's Oriole
Icterus cayanensis,Epaulet Oriole
Icterus chrysater,Yellow-backed Oriole
Icterus croconotus,Orange-backed Troupial
Icterus cucullatus,Hooded Oriole
Icterus galbula,Baltimore Oriole
Icterus graduacauda,Audubon's Oriole
Icterus gularis,Altamira Oriole
Icterus icterus,Venezuelan Troupial
Icterus mesomelas,Yellow-tailed Oriole
Icterus nigrogularis,Yellow Oriole
Icterus parisorum,Scott's Oriole
Icterus pectoralis,Spot-breasted Oriole
Icterus pustulatus,Streak-backed Oriole
Icterus pyrrhopterus,Variable Oriole
Icterus spurius,Orchard Oriole
Icterus wagleri,Black-vented Oriole
Ictinia mississippiensis,Mississippi Kite
Iduna caligata,Booted Warbler
Iduna opaca,Western Olivaceous Warbler
Iduna pallida,Eastern Olivaceous Warbler
Iduna rama,Sykes's Warbler
Ilicura militaris,Pin-tailed Manakin
Incilius valliceps,Gulf Coast Toad
Indicator indicator,Greater Honeyguide
Indicator minor,Lesser Honeyguide
Iole indica,Yellow-browed Bulbul
Irena puella,Asian Fairy-bluebird
Ixobrychus exilis,Least Bittern
Ixobrychus minutus,Little Bittern
Ixoreus naevius,Varied Thrush
Ixos mcclellandii,Mountain Bulbul
Jacamerops aureus,Great Jacamar
Jacana jacana,Wattled Jacana
Jacana spinosa,Northern Jacana
Junco hyemalis,Dark-eyed Junco
Junco phaeonotus,Yellow-eyed Junco
Jynx torquilla,Eurasian Wryneck
Klais guimeti,Violet-headed Hummingbird
Kleinothraupis atropileus,Black-capped Hemispingus
Lagopus lagopus,Willow Ptarmigan
Lagopus muta,Rock Ptarmigan
Lalage melanoptera,Black-headed Cuckooshrike
Lalage tricolor,White-winged Triller
Lampornis clemenciae,Blue-throated Mountain-gem
Lamprotornis chalybaeus,Greater Blue-eared Starling
Lamprotornis splendidus,Splendid Starling
Laniarius ferrugineus,Southern Boubou
Laniarius funebris,Slate-colored Boubou
Laniarius major,Tropical Boubou
Lanius borealis,Northern Shrike
Lanius bucephalus,Bull-headed Shrike
Lanius collurio,Red-backed Shrike
Lanius cristatus,Brown Shrike
Lanius excubitor,Great Gray Shrike
Lanius ludovicianus,Loggerhead Shrike
Lanius meridionalis,Iberian Gray Shrike
Lanius schach,Long-tailed Shrike
Lanius senator,Woodchat Shrike
Lanius vittatus,Bay-backed Shrike
Larosterna inca,Inca Tern
Larus argentatus,Herring Gull
Larus cachinnans,Caspian Gull
Larus californicus,California Gull
Larus canus,Common Gull
Larus delawarensis,Ring-billed Gull
Larus dominicanus,Kelp Gull
Larus fuscus,Lesser Black-backed Gull
Larus glaucescens,Glaucous-winged Gull
Larus heermanni,Heermann's Gull
Larus hyperboreus,Glaucous Gull
Larus marinus,Great Black-backed Gull
Larus michahellis,Yellow-legged Gull
Larus occidentalis,Western Gull
Larvivora brunnea,Indian Blue Robin
Larvivora cyane,Siberian Blue Robin
Laterallus albigularis,White-throated Crake
Laterallus exilis,Gray-breasted Crake
Laterallus jamaicensis,Black Rail
Laterallus melanophaius,Rufous-sided Crake
Laterallus ruber,Ruddy Crake
Lathrotriccus euleri,Euler's Flycatcher
Legatus leucophaius,Piratic Flycatcher
Leiothlypis celata,Orange-crowned Warbler
Leiothlypis luciae,Lucy's Warbler
Leiothlypis peregrina,Tennessee Warbler
Leiothlypis ruficapilla,Nashville Warbler
Leiothlypis virginiae,Virginia's Warbler
Leiothrix lutea,Red-billed Leiothrix
Leistes bellicosus,Peruvian Meadowlark
Leistes loyca,Long-tailed Meadowlark
Leistes militaris,Red-breasted Meadowlark
Leistes superciliaris,White-browed Meadowlark
Lepidocolaptes affinis,Spot-crowned Woodcreeper
Lepidocolaptes angustirostris,Narrow-billed Woodcreeper
Lepidocolaptes lacrymiger,Montane Woodcreeper
Lepidocolaptes souleyetii,Streak-headed Woodcreeper
Lepidothrix coronata,Blue-crowned Manakin
Leptasthenura aegithaloides,Plain-mantled Tit-Spinetail
Leptocoma minima,Crimson-backed Sunbird
Leptocoma zeylonica,Purple-rumped Sunbird
Leptodon cayanensis,Gray-headed Kite
Leptopogon amaurocephalus,Sepia-capped Flycatcher
Leptopogon rufipectus,Rufous-breasted Flycatcher
Leptopogon superciliaris,Slaty-capped Flycatcher
Leptotila rufaxilla,Gray-fronted Dove
Leptotila verreauxi,White-tipped Dove
Leucochloris albicollis,White-throated Hummingbird
Leucophaeus atricilla,Laughing Gull
Leucophaeus pipixcan,Franklin's Gull
Leucosticte tephrocotis,Gray-crowned Rosy-Finch
Lichmera indistincta,Brown Honeyeater
Limnodromus griseus,Short-billed Dowitcher
Limnodromus scolopaceus,Long-billed Dowitcher
Limnothlypis swainsonii,Swainson's Warbler
Limosa fedoa,Marbled Godwit
Limosa haemastica,Hudsonian Godwit
Limosa lapponica,Bar-tailed Godwit
Limosa limosa,Black-tailed Godwit
Linaria cannabina,Eurasian Linnet
Linaria flavirostris,Twite
Liocichla steerii,Steere's Liocichla
Lipaugus unirufus,Rufous Piha
Lipaugus vociferans,Screaming Piha
Lithobates catesbeianus,American Bullfrog
Lithobates clamitans,Green Frog
Lithobates palustris,Pickerel Frog
Lithobates sylvaticus,Wood Frog
Lochmias nematura,Sharp-tailed Streamcreeper
Locustella luscinioides,Savi's Warbler
Locustella naevia,Common Grasshopper-Warbler
Lonchura atricapilla,Chestnut Munia
Lonchura punctulata,Scaly-breasted Munia
Lonchura striata,White-rumped Munia
Lophoceros alboterminatus,Crowned Hornbill
Lophoceros nasutus,African Gray Hornbill
Lophodytes cucullatus,Hooded Merganser
Lophophanes cristatus,Crested Tit
Lophostrix cristata,Crested Owl
Lophotriccus pileatus,Scale-crested Pygmy-Tyrant
Lophura leucomelanos,Kalij Pheasant
Loriculus vernalis,Vernal Hanging-Parrot
Loxia curvirostra,Red Crossbill
Loxia leucoptera,White-winged Crossbill
Loxioides bailleui,Palila
Loxops caeruleirostris,Akekee
Loxops coccineus,Hawaii Akepa
Loxops mana,Hawaii Creeper
Lullula arborea,Wood Lark
Lurocalis semitorquatus,Short-tailed Nighthawk
Luscinia luscinia,Thrush Nightingale
Luscinia megarhynchos,Common Nightingale
Luscinia svecica,Bluethroat
Lybius torquatus,Black-collared Barbet
Lymnocryptes minimus,Jack Snipe
Machaeropterus deliciosus,Club-winged Manakin
Machetornis rixosa,Cattle Tyrant
Machlolophus spilonotus,Yellow-cheeked Tit
Mackenziaena severa,Tufted Antshrike
Macropygia phasianella,Brown Cuckoo-Dove
Malacocincla abbotti,Abbott's Babbler
Malaconotus blanchoti,Gray-headed Bushshrike
Malurus cyaneus,Superb Fairywren
Manacus candei,White-collared Manakin
Manacus manacus,White-bearded Manakin
Manacus vitellinus,Golden-collared Manakin
Manorina melanocephala,Noisy Miner
Manorina melanophrys,Bell Miner
Mareca americana,American Wigeon
Mareca penelope,Eurasian Wigeon
Mareca strepera,Gadwall
Margarops fuscatus,Pearly-eyed Thrasher
Mecocerculus leucophrys,White-throated Tyrannulet
Mecocerculus stictopterus,White-banded Tyrannulet
Megaceryle alcyon,Belted Kingfisher
Megaceryle torquata,Ringed Kingfisher
Megalurus palustris,Striated Grassbird
Megapodius reinwardt,Orange-footed Scrubfowl
Megarynchus pitangua,Boat-billed Flycatcher
Megascops asio,Eastern Screech-Owl
Megascops choliba,Tropical Screech-Owl
Megascops kennicottii,Western Screech-Owl
Megascops trichopsis,Whiskered Screech-Owl
Megascops watsonii,Tawny-bellied Screech-Owl
Melanerpes aurifrons,Golden-fronted Woodpecker
Melanerpes candidus,White Woodpecker
Melanerpes carolinus,Red-bellied Woodpecker
Melanerpes chrysogenys,Golden-cheeked Woodpecker
Melanerpes cruentatus,Yellow-tufted Woodpecker
Melanerpes erythrocephalus,Red-headed Woodpecker
Melanerpes flavifrons,Yellow-fronted Woodpecker
Melanerpes formicivorus,Acorn Woodpecker
Melanerpes hoffmannii,Hoffmann's Woodpecker
Melanerpes lewis,Lewis's Woodpecker
Melanerpes rubricapillus,Red-crowned Woodpecker
Melanerpes uropygialis,Gila Woodpecker
Melanitta americana,Black Scoter
Melanitta nigra,Common Scoter
Melanochlora sultanea,Sultan Tit
Melanocorypha calandra,Calandra Lark
Melanoptila glabrirostris,Black Catbird
Melanospiza bicolor,Black-faced Grassquit
Melanotis caerulescens,Blue Mockingbird
Melanotis hypoleucus,Blue-and-white Mockingbird
Meleagris gallopavo,Wild Turkey
Meliphaga lewinii,Lewin's Honeyeater
Melithreptus albogularis,White-throated Honeyeater
Melospiza georgiana,Swamp Sparrow
Melospiza lincolnii,Lincoln's Sparrow
Melospiza melodia,Song Sparrow
Melozone aberti,Abert's Towhee
Melozone albicollis,White-throated Towhee
Melozone crissalis,California Towhee
Melozone fusca,Canyon Towhee
Menura novaehollandiae,Superb Lyrebird
Mergus merganser,Common Merganser
Mergus serrator,Red-breasted Merganser
Merops apiaster,European Bee-eater
Merops orientalis,Green Bee-eater
Merops ornatus,Rainbow Bee-eater
Merops persicus,Blue-cheeked Bee-eater
Merops philippinus,Blue-tailed Bee-eater
Mesembrinibis cayennensis,Green Ibis
Metallura tyrianthina,Tyrian Metaltail
Metopidius indicus,Bronze-winged Jacana
Micrastur ruficollis,Barred Forest-Falcon
Micrastur semitorquatus,Collared Forest-Falcon
Micrathene whitneyi,Elf Owl
