ioc_12_2,comment
ducula rufigaster,Purple-tailed Imperial Pigeon
ducula basilica,Cinnamon-bellied Imperial Pigeon
ducula finschii,Finsch's Imperial Pigeon
ducula chalconota,Rufescent Imperial Pigeon
ducula pistrinaria,Island Imperial Pigeon
ducula rosacea,Pink-headed Imperial Pigeon
ducula whartoni,Christmas Imperial Pigeon
ducula pickeringii,Grey Imperial Pigeon
ducula latrans,Barking Imperial Pigeon
ducula brenchleyi,Chestnut-bellied Imperial Pigeon
ducula bakeri,Vanuatu Imperial Pigeon
ducula goliath,Goliath Imperial Pigeon
ducula pinon,Pinon's Imperial Pigeon
ducula melanochroa,Black Imperial Pigeon
ducula mullerii,Collared Imperial Pigeon
ducula zoeae,Zoe's Imperial Pigeon
ducula cuprea,Malabar Imperial Pigeon
ducula badia,Mountain Imperial Pigeon
ducula lacernulata,Dark-backed Imperial Pigeon
ducula cineracea,Timor Imperial Pigeon
ducula bicolor,Pied Imperial Pigeon
ducula luctuosa,Silver-tipped Imperial Pigeon
ducula spilorrhoa,Torresian Imperial Pigeon
ducula subflavescens,Yellowish Imperial Pigeon
lopholaimus antarcticus,Topknot Pigeon
hemiphaga novaeseelandiae,New Zealand Pigeon
hemiphaga chathamensis,Chatham Pigeon
cryptophaps poecilorrhoa,Sombre Pigeon
gymnophaps albertisii,Papuan Mountain Pigeon
gymnophaps mada,Buru Mountain Pigeon
gymnophaps stalkeri,Seram Mountain Pigeon
gymnophaps solomonensis,Pale Mountain Pigeon
podica senegalensis,African Finfoot
heliopais personatus,Masked Finfoot
heliornis fulica,Sungrebe
mentocrex kioloides,Madagascar Wood Rail
mentocrex beankaensis,Tsingy Wood Rail
sarothrura pulchra,White-spotted Flufftail
sarothrura elegans,Buff-spotted Flufftail
sarothrura rufa,Red-chested Flufftail
sarothrura lugens,Chestnut-headed Flufftail
sarothrura boehmi,Streaky-breasted Flufftail
sarothrura ayresi,White-winged Flufftail
sarothrura affinis,Striped Flufftail
sarothrura insularis,Madagascar Flufftail
sarothrura watersi,Slender-billed Flufftail
rallicula leucospila,White-striped Forest Rail
rallicula rubra,Chestnut Forest Rail
rallicula forbesi,Forbes's Forest Rail
rallicula mayri,Mayr's Forest Rail
canirallus oculeus,Grey-throated Rail
mustelirallus albicollis,Ash-throated Crake
neocrex erythrops,Paint-billed Crake
neocrex colombiana,Colombian Crake
cyanolimnas cerverai,Zapata Rail
pardirallus maculatus,Spotted Rail
pardirallus nigricans,Blackish Rail
pardirallus sanguinolentus,Plumbeous Rail
amaurolimnas concolor,Uniform Crake
aramides axillaris,Rufous-necked Wood Rail
aramides mangle,Little Wood Rail
aramides albiventris,Russet-naped Wood Rail
aramides cajaneus,Grey-cowled Wood Rail
aramides wolfi,Brown Wood Rail
aramides ypecaha,Giant Wood Rail
aramides calopterus,Red-winged Wood Rail
aramides saracura,Slaty-breasted Wood Rail
rallus obsoletus,Ridgway's Rail
rallus crepitans,Clapper Rail
rallus tenuirostris,Aztec Rail
rallus longirostris,Mangrove Rail
rallus elegans,King Rail
rallus wetmorei,Plain-flanked Rail
rallus limicola,Virginia Rail
rallus semiplumbeus,Bogota Rail
rallus aequatorialis,Ecuadorian Rail
rallus antarcticus,Austral Rail
rallus aquaticus,Water Rail
rallus indicus,Brown-cheeked Rail
rallus caerulescens,African Rail
rallus madagascariensis,Madagascar Rail
crecopsis egregia,African Crake
rougetius rougetii,Rouget's Rail
dryolimnas cuvieri,White-throated Rail
dryolimnas augusti,Reunion Rail
crex crex,Corn Crake
aramidopsis plateni,Snoring Rail
lewinia striata,Slaty-breasted Rail
lewinia mirifica,Brown-banded Rail
lewinia pectoralis,Lewin's Rail
lewinia muelleri,Auckland Rail
diaphorapteryx hawkinsi,Hawkins's Rail
aptenorallus calayanensis,Calayan Rail
habroptila wallacii,Invisible Rail
gallirallus australis,Weka
eulabeornis castaneoventris,Chestnut Rail
cabalus lafresnayanus,New Caledonian Rail
cabalus modestus,Chatham Rail
hypotaenidia okinawae,Okinawa Rail
hypotaenidia torquata,Barred Rail
hypotaenidia philippensis,Buff-banded Rail
hypotaenidia owstoni,Guam Rail
hypotaenidia insignis,Pink-legged Rail
hypotaenidia rovianae,Roviana Rail
hypotaenidia woodfordi,Woodford's Rail
hypotaenidia poeciloptera,Bar-winged Rail
hypotaenidia sylvestris,Lord Howe Woodhen
hypotaenidia dieffenbachii,Dieffenbach's Rail
hypotaenidia pacifica,Tahiti Rail
hypotaenidia wakensis,Wake Island Rail
porphyriops melanops,Spot-flanked Gallinule
porzana carolina,Sora
porzana porzana,Spotted Crake
porzana fluminea,Australian Crake
tribonyx ventralis,Black-tailed Nativehen
tribonyx mortierii,Tasmanian Nativehen
paragallinula angulata,Lesser Moorhen
gallinula tenebrosa,Dusky Moorhen
gallinula galeata,Common Gallinule
gallinula chloropus,Common Moorhen
gallinula nesiotis,Tristan Moorhen
gallinula comeri,Gough Moorhen
gallinula silvestris,Makira Woodhen
gallinula pacifica,Samoan Woodhen
fulica rufifrons,Red-fronted Coot
fulica cornuta,Horned Coot
fulica gigantea,Giant Coot
fulica armillata,Red-gartered Coot
fulica atra,Eurasian Coot
fulica cristata,Red-knobbed Coot
fulica newtonii,Mascarene Coot
fulica alai,Hawaiian Coot
fulica americana,American Coot
fulica ardesiaca,Andean Coot
fulica leucoptera,White-winged Coot
porphyrio alleni,Allen's Gallinule
porphyrio martinica,Purple Gallinule
porphyrio flavirostris,Azure Gallinule
porphyrio porphyrio,Western Swamphen
porphyrio madagascariensis,African Swamphen
porphyrio poliocephalus,Grey-headed Swamphen
porphyrio indicus,Black-backed Swamphen
porphyrio pulverulentus,Philippine Swamphen
porphyrio melanotus,Australasian Swamphen
porphyrio albus,White Swamphen
porphyrio mantelli,North Island Takahe
porphyrio hochstetteri,South Island Takahe
micropygia schomburgkii,Ocellated Crake
rufirallus viridis,Russet-crowned Crake
rufirallus castaneiceps,Chestnut-headed Crake
coturnicops exquisitus,Swinhoe's Rail
coturnicops noveboracensis,Yellow Rail
coturnicops notatus,Speckled Rail
laterallus flaviventer,Yellow-breasted Crake
laterallus jamaicensis,Black Rail
laterallus spilonota,Galapagos Crake
laterallus spiloptera,Dot-winged Crake
laterallus rogersi,Inaccessible Island Rail
laterallus ruber,Ruddy Crake
laterallus melanophaius,Rufous-sided Crake
laterallus levraudi,Rusty-flanked Crake
laterallus xenopterus,Rufous-faced Crake
laterallus leucopyrrhus,Red-and-white Crake
laterallus exilis,Grey-breasted Crake
laterallus albigularis,White-throated Crake
laterallus fasciatus,Black-banded Crake
mundia elpenor,Ascension Crake
aphanocrex podarces,St. Helena Rail
zapornia flavirostra,Black Crake
zapornia olivieri,Sakalava Rail
zapornia fusca,Ruddy-breasted Crake
zapornia paykullii,Band-bellied Crake
zapornia bicolor,Black-tailed Crake
zapornia akool,Brown Crake
zapornia pusilla,Baillon's Crake
zapornia astrictocarpus,St. Helena Crake
zapornia parva,Little Crake
zapornia tabuensis,Spotless Crake
zapornia monasa,Kosrae Crake
zapornia nigra,Tahiti Crake
zapornia atra,Henderson Crake
zapornia sandwichensis,Hawaiian Rail
zapornia palmeri,Laysan Rail
rallina eurizonoides,Slaty-legged Crake
rallina canningi,Andaman Crake
rallina fasciata,Red-legged Crake
rallina tricolor,Red-necked Crake
gymnocrex rosenbergii,Blue-faced Rail
gymnocrex talaudensis,Talaud Rail
gymnocrex plumbeiventris,Bare-eyed Rail
himantornis haematopus,Nkulengu Rail
megacrex inepta,New Guinea Flightless Rail
poliolimnas cinereus,White-browed Crake
aenigmatolimnas marginalis,Striped Crake
gallicrex cinerea,Watercock
amaurornis phoenicurus,White-breasted Waterhen
amaurornis olivacea,Plain Bush-hen
amaurornis magnirostris,Talaud Bush-hen
amaurornis isabellina,Isabelline Bush-hen
amaurornis moluccana,Pale-vented Bush-hen
aphanapteryx bonasia,Red Rail
erythromachus leguati,Rodrigues Rail
psophia crepitans,Grey-winged Trumpeter
psophia leucoptera,Pale-winged Trumpeter
psophia viridis,Dark-winged Trumpeter
balearica regulorum,Grey Crowned Crane
balearica pavonina,Black Crowned Crane
leucogeranus leucogeranus,Siberian Crane
antigone canadensis,Sandhill Crane
antigone vipio,White-naped Crane
antigone antigone,Sarus Crane
antigone rubicunda,Brolga
grus carunculata,Wattled Crane
grus paradisea,Blue Crane
grus virgo,Demoiselle Crane
grus japonensis,Red-crowned Crane
grus americana,Whooping Crane
grus grus,Common Crane
grus monacha,Hooded Crane
grus nigricollis,Black-necked Crane
aramus guarauna,Limpkin
tachybaptus rufolavatus,Alaotra Grebe
tachybaptus ruficollis,Little Grebe
tachybaptus tricolor,Tricolored Grebe
tachybaptus novaehollandiae,Australasian Grebe
tachybaptus pelzelnii,Madagascar Grebe
tachybaptus dominicus,Least Grebe
podilymbus podiceps,Pied-billed Grebe
podilymbus gigas,Atitlan Grebe
rollandia rolland,White-tufted Grebe
rollandia microptera,Titicaca Grebe
poliocephalus poliocephalus,Hoary-headed Grebe
poliocephalus rufopectus,New Zealand Grebe
podiceps major,Great Grebe
podiceps grisegena,Red-necked Grebe
podiceps cristatus,Great Crested Grebe
podiceps auritus,Horned Grebe
podiceps nigricollis,Black-necked Grebe
podiceps andinus,Colombian Grebe
podiceps occipitalis,Silvery Grebe
podiceps taczanowskii,Junin Grebe
podiceps gallardoi,Hooded Grebe
aechmophorus occidentalis,Western Grebe
aechmophorus clarkii,Clark's Grebe
phoenicopterus roseus,Greater Flamingo
phoenicopterus ruber,American Flamingo
phoenicopterus chilensis,Chilean Flamingo
phoeniconaias minor,Lesser Flamingo
phoenicoparrus andinus,Andean Flamingo
phoenicoparrus jamesi,James's Flamingo
turnix sylvaticus,Common Buttonquail
turnix maculosus,Red-backed Buttonquail
turnix hottentottus,Fynbos Buttonquail
turnix nanus,Black-rumped Buttonquail
turnix tanki,Yellow-legged Buttonquail
turnix ocellatus,Spotted Buttonquail
turnix suscitator,Barred Buttonquail
turnix nigricollis,Madagascar Buttonquail
turnix melanogaster,Black-breasted Buttonquail
turnix castanotus,Chestnut-backed Buttonquail
turnix olivii,Buff-breasted Buttonquail
turnix varius,Painted Buttonquail
turnix novaecaledoniae,New Caledonian Buttonquail
turnix worcesteri,Worcester's Buttonquail
turnix everetti,Sumba Buttonquail
turnix pyrrhothorax,Red-chested Buttonquail
turnix velox,Little Buttonquail
ortyxelos meiffrenii,Quail-plover
burhinus oedicnemus,Eurasian Stone-curlew
burhinus indicus,Indian Stone-curlew
burhinus senegalensis,Senegal Thick-knee
burhinus vermiculatus,Water Thick-knee
burhinus capensis,Spotted Thick-knee
burhinus bistriatus,Double-striped Thick-knee
burhinus superciliaris,Peruvian Thick-knee
burhinus grallarius,Bush Stone-curlew
esacus recurvirostris,Great Stone-curlew
esacus magnirostris,Beach Stone-curlew
chionis albus,Snowy Sheathbill
chionis minor,Black-faced Sheathbill
pluvianellus socialis,Magellanic Plover
haematopus leucopodus,Magellanic Oystercatcher
haematopus ater,Blackish Oystercatcher
haematopus bachmani,Black Oystercatcher
haematopus palliatus,American Oystercatcher
haematopus meadewaldoi,Canary Islands Oystercatcher
haematopus moquini,African Oystercatcher
haematopus ostralegus,Eurasian Oystercatcher
haematopus finschi,South Island Oystercatcher
haematopus longirostris,Pied Oystercatcher
haematopus unicolor,Variable Oystercatcher
haematopus chathamensis,Chatham Oystercatcher
haematopus fuliginosus,Sooty Oystercatcher
ibidorhyncha struthersii,Ibisbill
himantopus himantopus,Black-winged Stilt
himantopus leucocephalus,Pied Stilt
himantopus mexicanus,Black-necked Stilt
himantopus melanurus,White-backed Stilt
himantopus novaezelandiae,Black Stilt
cladorhynchus leucocephalus,Banded Stilt
recurvirostra avosetta,Pied Avocet
recurvirostra americana,American Avocet
recurvirostra novaehollandiae,Red-necked Avocet
recurvirostra andina,Andean Avocet
vanellus vanellus,Northern Lapwing
vanellus crassirostris,Long-toed Lapwing
vanellus armatus,Blacksmith Lapwing
vanellus spinosus,Spur-winged Lapwing
vanellus duvaucelii,River Lapwing
vanellus tectus,Black-headed Lapwing
vanellus malabaricus,Yellow-wattled Lapwing
vanellus albiceps,White-crowned Lapwing
vanellus lugubris,Senegal Lapwing
vanellus melanopterus,Black-winged Lapwing
vanellus coronatus,Crowned Lapwing
vanellus senegallus,African Wattled Lapwing
vanellus melanocephalus,Spot-breasted Lapwing
vanellus superciliosus,Brown-chested Lapwing
vanellus cinereus,Grey-headed Lapwing
vanellus indicus,Red-wattled Lapwing
vanellus macropterus,Javan Lapwing
vanellus tricolor,Banded Lapwing
vanellus miles,Masked Lapwing
vanellus gregarius,Sociable Lapwing
vanellus leucurus,White-tailed Lapwing
vanellus chilensis,Southern Lapwing
vanellus resplendens,Andean Lapwing
erythrogonys cinctus,Red-kneed Dotterel
peltohyas australis,Inland Dotterel
anarhynchus frontalis,Wrybill
pluvialis apricaria,European Golden Plover
pluvialis fulva,Pacific Golden Plover
pluvialis dominica,American Golden Plover
pluvialis squatarola,Grey Plover
charadrius obscurus,New Zealand Plover
charadrius hiaticula,Common Ringed Plover
charadrius semipalmatus,Semipalmated Plover
charadrius placidus,Long-billed Plover
charadrius dubius,Little Ringed Plover
charadrius wilsonia,Wilson's Plover
charadrius vociferus,Killdeer
charadrius melodus,Piping Plover
charadrius thoracicus,Madagascar Plover
charadrius pecuarius,Kittlitz's Plover
charadrius sanctaehelenae,St. Helena Plover
charadrius tricollaris,Three-banded Plover
charadrius forbesi,Forbes's Plover
charadrius marginatus,White-fronted Plover
charadrius alexandrinus,Kentish Plover
charadrius dealbatus,White-faced Plover
charadrius nivosus,Snowy Plover
charadrius javanicus,Javan Plover
charadrius ruficapillus,Red-capped Plover
charadrius peronii,Malaysian Plover
charadrius pallidus,Chestnut-banded Plover
charadrius collaris,Collared Plover
charadrius alticola,Puna Plover
charadrius falklandicus,Two-banded Plover
charadrius bicinctus,Double-banded Plover
charadrius mongolus,Lesser Sand Plover
charadrius leschenaultii,Greater Sand Plover
charadrius asiaticus,Caspian Plover
charadrius veredus,Oriental Plover
charadrius morinellus,Eurasian Dotterel
charadrius modestus,Rufous-chested Plover
charadrius montanus,Mountain Plover
thinornis cucullatus,Hooded Dotterel
thinornis novaeseelandiae,Shore Dotterel
elseyornis melanops,Black-fronted Dotterel
oreopholus ruficollis,Tawny-throated Dotterel
phegornis mitchellii,Diademed Sandpiper-Plover
hoploxypterus cayanus,Pied Plover
pluvianus aegyptius,Egyptian Plover
rostratula benghalensis,Greater Painted-snipe
rostratula australis,Australian Painted-snipe
nycticryphes semicollaris,South American Painted-snipe
microparra capensis,Lesser Jacana
actophilornis africanus,African Jacana
actophilornis albinucha,Madagascar Jacana
irediparra gallinacea,Comb-crested Jacana
hydrophasianus chirurgus,Pheasant-tailed Jacana
metopidius indicus,Bronze-winged Jacana
jacana spinosa,Northern Jacana
jacana jacana,Wattled Jacana
pedionomus torquatus,Plains-wanderer
attagis gayi,Rufous-bellied Seedsnipe
attagis malouinus,White-bellied Seedsnipe
thinocorus orbignyianus,Grey-breasted Seedsnipe
thinocorus rumicivorus,Least Seedsnipe
bartramia longicauda,Upland Sandpiper
numenius tahitiensis,Bristle-thighed Curlew
numenius phaeopus,Eurasian Whimbrel
numenius hudsonicus,Hudsonian Whimbrel
numenius minutus,Little Curlew
numenius borealis,Eskimo Curlew
numenius americanus,Long-billed Curlew
numenius madagascariensis,Far Eastern Curlew
numenius tenuirostris,Slender-billed Curlew
numenius arquata,Eurasian Curlew
limosa lapponica,Bar-tailed Godwit
limosa limosa,Black-tailed Godwit
limosa haemastica,Hudsonian Godwit
limosa fedoa,Marbled Godwit
arenaria interpres,Ruddy Turnstone
arenaria melanocephala,Black Turnstone
prosobonia parvirostris,Tuamotu Sandpiper
prosobonia cancellata,Kiritimati Sandpiper
prosobonia leucoptera,Tahiti Sandpiper
prosobonia ellisi,Moorea Sandpiper
calidris tenuirostris,Great Knot
calidris canutus,Red Knot
calidris virgata,Surfbird
calidris pugnax,Ruff
calidris falcinellus,Broad-billed Sandpiper
calidris acuminata,Sharp-tailed Sandpiper
calidris himantopus,Stilt Sandpiper
calidris ferruginea,Curlew Sandpiper
calidris temminckii,Temminck's Stint
calidris subminuta,Long-toed Stint
calidris pygmaea,Spoon-billed Sandpiper
calidris ruficollis,Red-necked Stint
calidris alba,Sanderling
calidris alpina,Dunlin
calidris ptilocnemis,Rock Sandpiper
calidris maritima,Purple Sandpiper
calidris bairdii,Baird's Sandpiper
calidris minuta,Little Stint
calidris minutilla,Least Sandpiper
calidris fuscicollis,White-rumped Sandpiper
calidris subruficollis,Buff-breasted Sandpiper
calidris melanotos,Pectoral Sandpiper
calidris pusilla,Semipalmated Sandpiper
calidris mauri,Western Sandpiper
limnodromus semipalmatus,Asian Dowitcher
limnodromus scolopaceus,Long-billed Dowitcher
limnodromus griseus,Short-billed Dowitcher
scolopax rusticola,Eurasian Woodcock
scolopax mira,Amami Woodcock
scolopax saturata,Javan Woodcock
scolopax rosenbergii,New Guinea Woodcock
scolopax bukidnonensis,Bukidnon Woodcock
scolopax celebensis,Sulawesi Woodcock
scolopax rochussenii,Moluccan Woodcock
scolopax minor,American Woodcock
coenocorypha pusilla,Chatham Snipe
coenocorypha barrierensis,North Island Snipe
coenocorypha iredalei,South Island Snipe
coenocorypha huegeli,Snares Snipe
coenocorypha aucklandica,Subantarctic Snipe
lymnocryptes minimus,Jack Snipe
gallinago solitaria,Solitary Snipe
gallinago hardwickii,Latham's Snipe
gallinago nemoricola,Wood Snipe
gallinago stenura,Pin-tailed Snipe
gallinago megala,Swinhoe's Snipe
gallinago nigripennis,African Snipe
gallinago macrodactyla,Madagascar Snipe
gallinago media,Great Snipe
gallinago gallinago,Common Snipe
gallinago delicata,Wilson's Snipe
gallinago paraguaiae,Pantanal Snipe
gallinago magellanica,Magellanic Snipe
gallinago andina,Puna Snipe
gallinago nobilis,Noble Snipe
gallinago undulata,Giant Snipe
gallinago stricklandii,Fuegian Snipe
gallinago jamesoni,Jameson's Snipe
gallinago imperialis,Imperial Snipe
xenus cinereus,Terek Sandpiper
phalaropus tricolor,Wilson's Phalarope
phalaropus lobatus,Red-necked Phalarope
phalaropus fulicarius,Red Phalarope
actitis hypoleucos,Common Sandpiper
actitis macularius,Spotted Sandpiper
tringa ochropus,Green Sandpiper
tringa solitaria,Solitary Sandpiper
tringa incana,Wandering Tattler
tringa brevipes,Grey-tailed Tattler
tringa flavipes,Lesser Yellowlegs
tringa semipalmata,Willet
tringa totanus,Common Redshank
tringa stagnatilis,Marsh Sandpiper
tringa glareola,Wood Sandpiper
tringa erythropus,Spotted Redshank
tringa nebularia,Common Greenshank
tringa guttifer,Nordmann's Greenshank
tringa melanoleuca,Greater Yellowlegs
dromas ardeola,Crab-plover
cursorius cursor,Cream-colored Courser
cursorius somalensis,Somali Courser
cursorius rufus,Burchell's Courser
cursorius temminckii,Temminck's Courser
cursorius coromandelicus,Indian Courser
rhinoptilus africanus,Double-banded Courser
rhinoptilus cinctus,Three-banded Courser
rhinoptilus chalcopterus,Bronze-winged Courser
rhinoptilus bitorquatus,Jerdon's Courser
stiltia isabella,Australian Pratincole
glareola pratincola,Collared Pratincole
glareola maldivarum,Oriental Pratincole
glareola nordmanni,Black-winged Pratincole
glareola ocularis,Madagascar Pratincole
glareola nuchalis,Rock Pratincole
glareola cinerea,Grey Pratincole
glareola lactea,Small Pratincole
anous stolidus,Brown Noddy
anous tenuirostris,Lesser Noddy
anous minutus,Black Noddy
anous ceruleus,Blue Noddy
anous albivitta,Grey Noddy
gygis alba,White Tern
rynchops niger,Black Skimmer
rynchops flavirostris,African Skimmer
rynchops albicollis,Indian Skimmer
creagrus furcatus,Swallow-tailed Gull
rissa tridactyla,Black-legged Kittiwake
rissa brevirostris,Red-legged Kittiwake
pagophila eburnea,Ivory Gull
xema sabini,Sabine's Gull
chroicocephalus genei,Slender-billed Gull
chroicocephalus philadelphia,Bonaparte's Gull
chroicocephalus novaehollandiae,Silver Gull
chroicocephalus bulleri,Black-billed Gull
chroicocephalus serranus,Andean Gull
chroicocephalus brunnicephalus,Brown-headed Gull
chroicocephalus maculipennis,Brown-hooded Gull
chroicocephalus ridibundus,Black-headed Gull
chroicocephalus cirrocephalus,Grey-headed Gull
chroicocephalus hartlaubii,Hartlaub's Gull
chroicocephalus saundersi,Saunders's Gull
hydrocoloeus minutus,Little Gull
rhodostethia rosea,Ross's Gull
leucophaeus scoresbii,Dolphin Gull
leucophaeus fuliginosus,Lava Gull
leucophaeus atricilla,Laughing Gull
leucophaeus pipixcan,Franklin's Gull
leucophaeus modestus,Grey Gull
ichthyaetus relictus,Relict Gull
ichthyaetus audouinii,Audouin's Gull
ichthyaetus melanocephalus,Mediterranean Gull
ichthyaetus ichthyaetus,Pallas's Gull
ichthyaetus leucophthalmus,White-eyed Gull
ichthyaetus hemprichii,Sooty Gull
larus pacificus,Pacific Gull
larus belcheri,Belcher's Gull
larus atlanticus,Olrog's Gull
larus crassirostris,Black-tailed Gull
larus heermanni,Heermann's Gull
larus canus,Common Gull
larus brachyrhynchus,Short-billed Gull
larus delawarensis,Ring-billed Gull
larus californicus,California Gull
larus marinus,Great Black-backed Gull
larus dominicanus,Kelp Gull
larus glaucescens,Glaucous-winged Gull
larus occidentalis,Western Gull
larus livens,Yellow-footed Gull
larus hyperboreus,Glaucous Gull
larus glaucoides,Iceland Gull
larus argentatus,European Herring Gull
larus smithsonianus,American Herring Gull
larus vegae,Vega Gull
larus cachinnans,Caspian Gull
larus michahellis,Yellow-legged Gull
larus armenicus,Armenian Gull
larus schistisagus,Slaty-backed Gull
larus fuscus,Lesser Black-backed Gull
gelochelidon nilotica,Gull-billed Tern
gelochelidon macrotarsa,Australian Tern
hydroprogne caspia,Caspian Tern
thalasseus maximus,Royal Tern
thalasseus bergii,Greater Crested Tern
thalasseus bengalensis,Lesser Crested Tern
thalasseus albididorsalis,West African Crested Tern
thalasseus bernsteini,Chinese Crested Tern
thalasseus sandvicensis,Sandwich Tern
thalasseus acuflavidus,Cabot's Tern
thalasseus elegans,Elegant Tern
sternula albifrons,Little Tern
sternula saundersi,Saunders's Tern
sternula antillarum,Least Tern
sternula superciliaris,Yellow-billed Tern
sternula lorata,Peruvian Tern
sternula nereis,Fairy Tern
sternula balaenarum,Damara Tern
onychoprion aleuticus,Aleutian Tern
onychoprion lunatus,Spectacled Tern
onychoprion anaethetus,Bridled Tern
onychoprion fuscatus,Sooty Tern
sterna aurantia,River Tern
sterna dougallii,Roseate Tern
sterna striata,White-fronted Tern
sterna sumatrana,Black-naped Tern
sterna hirundinacea,South American Tern
sterna hirundo,Common Tern
sterna repressa,White-cheeked Tern
sterna paradisaea,Arctic Tern
sterna vittata,Antarctic Tern
sterna virgata,Kerguelen Tern
sterna forsteri,Forster's Tern
sterna trudeaui,Snowy-crowned Tern
sterna acuticauda,Black-bellied Tern
chlidonias albostriatus,Black-fronted Tern
chlidonias hybrida,Whiskered Tern
chlidonias leucopterus,White-winged Tern
chlidonias niger,Black Tern
phaetusa simplex,Large-billed Tern
larosterna inca,Inca Tern
stercorarius chilensis,Chilean Skua
stercorarius maccormicki,South Polar Skua
stercorarius antarcticus,Brown Skua
stercorarius skua,Great Skua
stercorarius pomarinus,Pomarine Jaeger
stercorarius parasiticus,Parasitic Jaeger
stercorarius longicaudus,Long-tailed Jaeger
alle alle,Little Auk
uria lomvia,Thick-billed Murre
uria aalge,Common Murre
alca torda,Razorbill
pinguinus impennis,Great Auk
cepphus grylle,Black Guillemot
cepphus columba,Pigeon Guillemot
cepphus carbo,Spectacled Guillemot
brachyramphus marmoratus,Marbled Murrelet
brachyramphus perdix,Long-billed Murrelet
brachyramphus brevirostris,Kittlitz's Murrelet
synthliboramphus hypoleucus,Guadalupe Murrelet
synthliboramphus scrippsi,Scripps's Murrelet
synthliboramphus craveri,Craveri's Murrelet
synthliboramphus antiquus,Ancient Murrelet
synthliboramphus wumizusume,Japanese Murrelet
ptychoramphus aleuticus,Cassin's Auklet
aethia psittacula,Parakeet Auklet
aethia pusilla,Least Auklet
aethia pygmaea,Whiskered Auklet
aethia cristatella,Crested Auklet
cerorhinca monocerata,Rhinoceros Auklet
fratercula arctica,Atlantic Puffin
fratercula corniculata,Horned Puffin
fratercula cirrhata,Tufted Puffin
rhynochetos jubatus,Kagu
eurypyga helias,Sunbittern
phaethon aethereus,Red-billed Tropicbird
phaethon rubricauda,Red-tailed Tropicbird
phaethon lepturus,White-tailed Tropicbird
gavia stellata,Red-throated Loon
gavia arctica,Black-throated Loon
gavia pacifica,Pacific Loon
gavia immer,Common Loon
gavia adamsii,Yellow-billed Loon
aptenodytes patagonicus,King Penguin
aptenodytes forsteri,Emperor Penguin
pygoscelis adeliae,Adelie Penguin
pygoscelis antarcticus,Chinstrap Penguin
pygoscelis papua,Gentoo Penguin
eudyptula minor,Little Penguin
spheniscus mendiculus,Galapagos Penguin
spheniscus humboldti,Humboldt Penguin
spheniscus magellanicus,Magellanic Penguin
spheniscus demersus,African Penguin
megadyptes antipodes,Yellow-eyed Penguin
eudyptes chrysolophus,Macaroni Penguin
eudyptes schlegeli,Royal Penguin
eudyptes moseleyi,Northern Rockhopper Penguin
eudyptes chrysocome,Southern Rockhopper Penguin
eudyptes pachyrhynchus,Fiordland Penguin
eudyptes robustus,Snares Penguin
eudyptes sclateri,Erect-crested Penguin
oceanites oceanicus,Wilson's Storm Petrel
oceanites gracilis,Elliot's Storm Petrel
oceanites pincoyae,Pincoya Storm Petrel
garrodia nereis,Grey-backed Storm Petrel
pelagodroma marina,White-faced Storm Petrel
fregetta grallaria,White-bellied Storm Petrel
fregetta tropica,Black-bellied Storm Petrel
fregetta lineata,New Caledonian Storm Petrel
fregetta maoriana,New Zealand Storm Petrel
nesofregetta fuliginosa,Polynesian Storm Petrel
phoebastria immutabilis,Laysan Albatross
phoebastria nigripes,Black-footed Albatross
phoebastria irrorata,Waved Albatross
phoebastria albatrus,Short-tailed Albatross
diomedea exulans,Wandering Albatross
diomedea antipodensis,Antipodean Albatross
diomedea amsterdamensis,Amsterdam Albatross
diomedea dabbenena,Tristan Albatross
diomedea epomophora,Southern Royal Albatross
diomedea sanfordi,Northern Royal Albatross
phoebetria fusca,Sooty Albatross
phoebetria palpebrata,Light-mantled Albatross
thalassarche melanophris,Black-browed Albatross
thalassarche impavida,Campbell Albatross
thalassarche cauta,Shy Albatross
thalassarche eremita,Chatham Albatross
thalassarche salvini,Salvin's Albatross
thalassarche chrysostoma,Grey-headed Albatross
thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross
thalassarche carteri,Indian Yellow-nosed Albatross
thalassarche bulleri,Buller's Albatross
hydrobates pelagicus,European Storm Petrel
hydrobates furcatus,Fork-tailed Storm Petrel
hydrobates hornbyi,Ringed Storm Petrel
hydrobates monorhis,Swinhoe's Storm Petrel
hydrobates matsudairae,Matsudaira's Storm Petrel
hydrobates leucorhous,Leach's Storm Petrel
hydrobates socorroensis,Townsend's Storm Petrel
hydrobates cheimomnestes,Ainley's Storm Petrel
hydrobates homochroa,Ashy Storm Petrel
hydrobates castro,Band-rumped Storm Petrel
hydrobates monteiroi,Monteiro's Storm Petrel
hydrobates jabejabe,Cape Verde Storm Petrel
hydrobates tethys,Wedge-rumped Storm Petrel
hydrobates melania,Black Storm Petrel
hydrobates macrodactylus,Guadalupe Storm Petrel
hydrobates markhami,Markham's Storm Petrel
hydrobates tristrami,Tristram's Storm Petrel
hydrobates microsoma,Least Storm Petrel
macronectes giganteus,Southern Giant Petrel
macronectes halli,Northern Giant Petrel
fulmarus glacialis,Northern Fulmar
fulmarus glacialoides,Southern Fulmar
thalassoica antarctica,Antarctic Petrel
daption capense,Cape Petrel
pagodroma nivea,Snow Petrel
